Address,City,State,Zip,County
"1 Bungtown Rd","Cold Spring Harbor","NY","11724","Suffolk County"
"105 Main St","Durham","NH","3824","Strafford County"
"4400 Vestal Pkwy E","Binghamton","NY","13902","Broome County"
"1032 W Sheridan Rd","Chicago","IL","60660","Cook County"
"301 University Blvd","Galveston","TX","77555","Galveston County"
"1000 E University Ave","Laramie","WY","82071","Albany County"
"1 UTSA Circle","San Antonio","TX","78249","Bexar County"
"168 College Ave","Orono","ME","4469","Penobscot County"
"1664 N Virginia St","Reno","NV","89557","Washoe County"
"1100 N Lindsay Ave","Oklahoma City","OK","73104","Oklahoma County"
"1155 Union Cir","Denton","TX","76205","Denton County"
"75 B.S. Hood Rd","Mississippi State","MS","39762","Oktibbeha County"
"4301 W Markham St","Little Rock","AR","72205","Pulaski County"
"5000 Holmes St","Kansas City","MO","64110","Jackson County"
"Culbertson Hall, 100","Bozeman","MT","59717","Gallatin County"
"1000 Hilltop Cir","Baltimore","MD","21250","Baltimore County"
"100 Morrissey Blvd","Boston","MA","2125","Suffolk County"
"1 Morgan Pl","Yellow Springs","OH","45387","Greene County"
"505 S Chandalar","Fairbanks","AK","99775","Fairbanks North Star Borough"
"1120 15th St","Augusta","GA","30912","Richmond County"
"445 Lenox Rd","Brooklyn","NY","11203","Kings County"
"875 Perimeter Dr","Moscow","ID","83844","Latah County"
"800 E Summit St","Kent","OH","44240","Portage County"
"32 Campus Dr","Missoula","MT","59812","Missoula County"
"1 Ohio University","Athens","OH","45701","Athens County"
"Barsema Alumni and Visitors Center, 231 N Annie Glidden Rd","DeKalb","IL","60115","DeKalb County"
"9201 University City Blvd","Charlotte","NC","28223","Mecklenburg County"
"45 Upper College Rd","Kingston","RI","2881","Washington County"
"2199 S University Blvd","Denver","CO","80210","Denver County"
"2801 Bancroft St","Toledo","OH","43606","Lucas County"
"501 E High St","Oxford","OH","45056","Butler County"
"5115 Hampton Blvd","Norfolk","VA","23529","Norfolk City"
"4505 S Maryland Pkwy","Las Vegas","NV","89154","Clark County"
"195 University Ave","Newark","NJ","7102","Essex County"
"45 Wyllys Ave","Middletown","CT","6459","Middlesex County"
"5200 Lake Rd","Merced","CA","95343","Merced County"
"104 E University Ave","Lafayette","LA","70504","Lafayette Parish"
